serie,CREST,CREST sem agente
M4_WEEKLY_DATASET_105,75.0,75.0
M4_WEEKLY_DATASET_106,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_107,58.333333333333336,58.333333333333336
M4_WEEKLY_DATASET_108,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_109,33.333333333333336,33.333333333333336
M4_WEEKLY_DATASET_110,75.0,75.0
M4_WEEKLY_DATASET_111,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_112,83.33333333333333,83.33333333333333
M4_WEEKLY_DATASET_113,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_114,33.333333333333336,33.333333333333336
M4_WEEKLY_DATASET_115,75.0,75.0
M4_WEEKLY_DATASET_116,66.66666666666667,75.0
M4_WEEKLY_DATASET_117,83.33333333333333,83.33333333333333
M4_WEEKLY_DATASET_118,50.0,50.0
M4_WEEKLY_DATASET_119,33.333333333333336,33.333333333333336
M4_WEEKLY_DATASET_120,75.0,83.33333333333333
M4_WEEKLY_DATASET_121,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_122,83.33333333333333,83.33333333333333
M4_WEEKLY_DATASET_123,58.333333333333336,58.333333333333336
M4_WEEKLY_DATASET_124,75.0,75.0
M4_WEEKLY_DATASET_125,91.66666666666669,91.66666666666669
M4_WEEKLY_DATASET_126,58.333333333333336,58.333333333333336
M4_WEEKLY_DATASET_127,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_128,83.33333333333333,83.33333333333333
M4_WEEKLY_DATASET_129,50.0,50.0
M4_WEEKLY_DATASET_130,83.33333333333333,83.33333333333333
M4_WEEKLY_DATASET_131,50.0,50.0
M4_WEEKLY_DATASET_132,91.66666666666669,91.66666666666669
M4_WEEKLY_DATASET_133,91.66666666666669,91.66666666666669
M4_WEEKLY_DATASET_134,33.333333333333336,33.333333333333336
M4_WEEKLY_DATASET_135,50.0,58.333333333333336
M4_WEEKLY_DATASET_136,58.333333333333336,58.333333333333336
M4_WEEKLY_DATASET_137,75.0,75.0
M4_WEEKLY_DATASET_138,66.66666666666667,58.333333333333336
M4_WEEKLY_DATASET_139,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_140,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_141,66.66666666666667,75.0
M4_WEEKLY_DATASET_142,91.66666666666669,91.66666666666669
M4_WEEKLY_DATASET_143,25.0,25.0
M4_WEEKLY_DATASET_144,75.0,75.0
M4_WEEKLY_DATASET_145,91.66666666666669,75.0
M4_WEEKLY_DATASET_146,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_147,50.0,50.0
M4_WEEKLY_DATASET_148,50.0,50.0
M4_WEEKLY_DATASET_149,75.0,75.0
M4_WEEKLY_DATASET_150,91.66666666666669,91.66666666666669
M4_WEEKLY_DATASET_151,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_152,66.66666666666667,66.66666666666667
M4_WEEKLY_DATASET_153,75.0,75.0
M4_WEEKLY_DATASET_154,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_155,41.66666666666666,41.66666666666666
M4_WEEKLY_DATASET_156,75.0,75.0
M4_WEEKLY_DATASET_157,58.333333333333336,58.333333333333336
M4_WEEKLY_DATASET_158,91.66666666666669,91.66666666666669
M4_WEEKLY_DATASET_159,91.66666666666669,91.66666666666669
